date,name,value,lastValue
1/1/20,Weather,17,0
1/1/20,Pizza,9,0
1/1/20,Stimulus,0,0
1/1/20,Coronavirus,0,0
1/1/20,Trump,3,0
1/2/20,Weather,18,17
1/2/20,Pizza,5,9
1/2/20,Stimulus,0,0
1/2/20,Coronavirus,0,0
1/2/20,Trump,2,3
1/3/20,Pizza,6,18
1/3/20,Stimulus,0,5
1/3/20,Coronavirus,0,0
1/3/20,Weather,17,0
1/3/20,Trump,6,2
1/4/20,Trump,5,6
1/4/20,Pizza,7,0
1/4/20,Coronavirus,0,0
1/4/20,Weather,19,17
1/4/20,Stimulus,0,6
1/5/20,Weather,17,5
1/5/20,Stimulus,0,7
1/5/20,Coronavirus,0,0
1/5/20,Trump,5,19
1/5/20,Pizza,7,0
1/6/20,Pizza,4,17
1/6/20,Trump,5,0
1/6/20,Weather,17,0
1/6/20,Coronavirus,0,5
1/6/20,Stimulus,0,7
1/7/20,Coronavirus,0,4
1/7/20,Trump,4,5
1/7/20,Pizza,4,17
1/7/20,Weather,19,0
1/7/20,Stimulus,0,0
1/8/20,Weather,19,0
1/8/20,Pizza,4,4
1/8/20,Stimulus,0,4
1/8/20,Coronavirus,0,19
1/8/20,Trump,9,0
1/9/20,Coronavirus,0,19
1/9/20,Weather,22,4
1/9/20,Stimulus,0,0
1/9/20,Pizza,4,0
1/9/20,Trump,4,9
1/10/20,Weather,27,0
1/10/20,Coronavirus,0,22
1/10/20,Trump,3,0
1/10/20,Pizza,6,4
1/10/20,Stimulus,0,4
1/11/20,Weather,34,27
1/11/20,Trump,3,0
1/11/20,Coronavirus,0,3
1/11/20,Pizza,7,6
1/11/20,Stimulus,0,0
1/12/20,Stimulus,0,34
1/12/20,Weather,24,3
1/12/20,Coronavirus,0,0
1/12/20,Pizza,7,7
1/12/20,Trump,3,0
1/13/20,Stimulus,0,0
1/13/20,Weather,23,24
1/13/20,Coronavirus,0,0
1/13/20,Trump,3,7
1/13/20,Pizza,4,3
1/14/20,Stimulus,0,0
1/14/20,Pizza,4,23
1/14/20,Trump,3,0
1/14/20,Coronavirus,0,3
1/14/20,Weather,21,4
1/15/20,Weather,22,0
1/15/20,Trump,3,4
1/15/20,Coronavirus,0,3
1/15/20,Stimulus,0,0
1/15/20,Pizza,4,21
1/16/20,Stimulus,0,22
1/16/20,Pizza,4,3
1/16/20,Trump,3,0
1/16/20,Weather,26,0
1/16/20,Coronavirus,0,4
1/17/20,Coronavirus,0,0
1/17/20,Weather,29,4
1/17/20,Pizza,6,3
1/17/20,Trump,4,26
1/17/20,Stimulus,0,0
1/18/20,Pizza,8,0
1/18/20,Coronavirus,0,29
1/18/20,Weather,29,6
1/18/20,Trump,3,4
1/18/20,Stimulus,0,0
1/19/20,Coronavirus,0,8
1/19/20,Pizza,7,0
1/19/20,Weather,21,29
1/19/20,Trump,3,3
1/19/20,Stimulus,0,0
1/20/20,Weather,20,0
1/20/20,Trump,3,7
1/20/20,Pizza,5,21
1/20/20,Stimulus,0,3
1/20/20,Coronavirus,0,0
1/21/20,Stimulus,0,20
1/21/20,Weather,20,3
1/21/20,Coronavirus,3,5
1/21/20,Pizza,4,0
1/21/20,Trump,3,0
1/22/20,Stimulus,0,0
1/22/20,Coronavirus,3,20
1/22/20,Weather,22,3
1/22/20,Pizza,4,4
1/22/20,Trump,4,3
1/23/20,Weather,19,0
1/23/20,Trump,4,3
1/23/20,Pizza,4,22
1/23/20,Coronavirus,4,4
1/23/20,Stimulus,0,4
1/24/20,Trump,4,19
1/24/20,Stimulus,0,4
1/24/20,Weather,18,4
1/24/20,Pizza,6,4
1/24/20,Coronavirus,8,0
1/25/20,Stimulus,0,4
1/25/20,Coronavirus,8,0
1/25/20,Pizza,7,18
1/25/20,Trump,4,6
1/25/20,Weather,19,8
1/26/20,Weather,15,0
1/26/20,Coronavirus,10,8
1/26/20,Pizza,6,7
1/26/20,Trump,3,4
1/26/20,Stimulus,0,19
1/27/20,Weather,15,15
1/27/20,Coronavirus,11,10
1/27/20,Pizza,4,6
1/27/20,Stimulus,0,3
1/27/20,Trump,3,0
1/28/20,Coronavirus,11,15
1/28/20,Trump,4,11
1/28/20,Stimulus,0,4
1/28/20,Weather,15,0
1/28/20,Pizza,4,3
1/29/20,Trump,4,11
1/29/20,Coronavirus,11,4
1/29/20,Pizza,4,0
1/29/20,Weather,15,15
1/29/20,Stimulus,0,4
1/30/20,Pizza,4,4
1/30/20,Stimulus,0,11
1/30/20,Trump,4,4
1/30/20,Weather,15,15
1/30/20,Coronavirus,11,0
1/31/20,Stimulus,0,4
1/31/20,Trump,4,0
1/31/20,Weather,17,4
1/31/20,Coronavirus,11,15
1/31/20,Pizza,6,11
2/1/20,Weather,17,0
2/1/20,Pizza,8,4
2/1/20,Coronavirus,9,17
2/1/20,Trump,4,11
2/1/20,Stimulus,0,6
2/2/20,Coronavirus,8,17
2/2/20,Weather,17,8
2/2/20,Trump,4,9
2/2/20,Stimulus,0,4
2/2/20,Pizza,9,0
2/3/20,Trump,6,8
2/3/20,Pizza,4,17
2/3/20,Weather,20,4
2/3/20,Coronavirus,7,0
2/3/20,Stimulus,0,9
2/4/20,Weather,22,6
2/4/20,Coronavirus,6,4
2/4/20,Stimulus,0,20
2/4/20,Trump,5,7
2/4/20,Pizza,4,0
2/5/20,Pizza,4,22
2/5/20,Coronavirus,5,6
2/5/20,Weather,25,0
2/5/20,Trump,11,5
2/5/20,Stimulus,0,4
2/6/20,Pizza,4,4
2/6/20,Weather,28,5
2/6/20,Trump,7,25
2/6/20,Coronavirus,6,11
2/6/20,Stimulus,0,0
2/7/20,Pizza,6,4
2/7/20,Trump,4,28
2/7/20,Stimulus,0,7
2/7/20,Coronavirus,6,6
2/7/20,Weather,25,0
2/8/20,Coronavirus,5,6
2/8/20,Pizza,8,4
2/8/20,Trump,4,0
2/8/20,Stimulus,0,6
2/8/20,Weather,21,25
2/9/20,Stimulus,0,5
2/9/20,Coronavirus,5,8
2/9/20,Trump,4,4
2/9/20,Pizza,9,0
2/9/20,Weather,23,21
2/10/20,Stimulus,0,0
2/10/20,Weather,21,5
2/10/20,Coronavirus,5,4
2/10/20,Pizza,5,9
2/10/20,Trump,3,23
2/11/20,Coronavirus,5,0
2/11/20,Trump,4,21
2/11/20,Pizza,4,5
2/11/20,Weather,19,5
2/11/20,Stimulus,0,3
2/12/20,Trump,4,5
2/12/20,Pizza,4,4
2/12/20,Weather,22,4
2/12/20,Coronavirus,4,19
2/12/20,Stimulus,0,0
2/13/20,Weather,22,4
2/13/20,Coronavirus,5,4
2/13/20,Stimulus,0,22
2/13/20,Trump,3,4
2/13/20,Pizza,5,0
2/14/20,Stimulus,0,22
2/14/20,Trump,3,5
2/14/20,Coronavirus,4,0
2/14/20,Pizza,7,3
2/14/20,Weather,18,5
2/15/20,Coronavirus,4,0
2/15/20,Stimulus,0,3
2/15/20,Trump,3,4
2/15/20,Pizza,9,7
2/15/20,Weather,18,18
2/16/20,Stimulus,0,4
2/16/20,Trump,4,0
2/16/20,Weather,18,3
2/16/20,Coronavirus,3,9
2/16/20,Pizza,8,18
2/17/20,Weather,18,0
2/17/20,Coronavirus,4,4
2/17/20,Pizza,5,18
2/17/20,Stimulus,0,3
2/17/20,Trump,3,8
2/18/20,Coronavirus,4,18
2/18/20,Weather,19,4
2/18/20,Stimulus,0,5
2/18/20,Pizza,4,0
2/18/20,Trump,3,3
2/19/20,Trump,4,4
2/19/20,Weather,19,19
2/19/20,Stimulus,0,0
2/19/20,Coronavirus,3,4
2/19/20,Pizza,4,3
2/20/20,Stimulus,0,4
2/20/20,Trump,4,19
2/20/20,Coronavirus,3,0
2/20/20,Pizza,5,3
2/20/20,Weather,22,4
2/21/20,Weather,19,0
2/21/20,Stimulus,0,4
2/21/20,Coronavirus,3,3
2/21/20,Trump,4,5
2/21/20,Pizza,6,22
2/22/20,Coronavirus,4,19
2/22/20,Pizza,7,0
2/22/20,Trump,3,3
2/22/20,Stimulus,0,4
2/22/20,Weather,20,6
2/23/20,Weather,19,4
2/23/20,Pizza,7,7
2/23/20,Trump,3,3
2/23/20,Stimulus,0,0
2/23/20,Coronavirus,5,20
2/24/20,Weather,20,19
2/24/20,Pizza,4,7
2/24/20,Trump,3,3
2/24/20,Coronavirus,7,0
2/24/20,Stimulus,0,5
2/25/20,Pizza,4,20
2/25/20,Stimulus,0,4
2/25/20,Coronavirus,10,3
2/25/20,Trump,3,7
2/25/20,Weather,19,0
2/26/20,Coronavirus,16,4
2/26/20,Pizza,4,0
2/26/20,Weather,20,10
2/26/20,Stimulus,0,3
2/26/20,Trump,3,19
2/27/20,Stimulus,0,16
2/27/20,Coronavirus,19,4
2/27/20,Weather,19,20
2/27/20,Pizza,5,0
2/27/20,Trump,3,3
2/28/20,Trump,3,0
2/28/20,Pizza,6,19
2/28/20,Stimulus,0,19
2/28/20,Coronavirus,18,5
2/28/20,Weather,17,3
2/29/20,Pizza,8,3
2/29/20,Weather,17,6
2/29/20,Trump,4,0
2/29/20,Stimulus,0,18
2/29/20,Coronavirus,19,17
3/1/20,Trump,3,8
3/1/20,Pizza,7,17
3/1/20,Stimulus,0,4
3/1/20,Coronavirus,17,0
3/1/20,Weather,20,19
3/2/20,Weather,19,3
3/2/20,Trump,3,7
3/2/20,Pizza,4,0
3/2/20,Stimulus,0,17
3/2/20,Coronavirus,25,20
3/3/20,Weather,19,19
3/3/20,Trump,3,3
3/3/20,Stimulus,0,4
3/3/20,Pizza,4,0
3/3/20,Coronavirus,25,25
3/4/20,Trump,4,19
3/4/20,Stimulus,0,3
3/4/20,Pizza,4,0
3/4/20,Coronavirus,23,4
3/4/20,Weather,18,25
3/5/20,Weather,18,4
3/5/20,Trump,3,0
3/5/20,Coronavirus,28,4
3/5/20,Pizza,5,23
3/5/20,Stimulus,0,18
3/6/20,Pizza,6,18
3/6/20,Weather,18,3
3/6/20,Coronavirus,30,28
3/6/20,Stimulus,0,5
3/6/20,Trump,3,0
3/7/20,Weather,19,6
3/7/20,Stimulus,0,18
3/7/20,Coronavirus,31,30
3/7/20,Pizza,8,0
3/7/20,Trump,3,3
