,date,name,value,lastValue
0,2020-01-01,beer,15,0
1,2020-01-01,pasta,7,0
2,2020-01-01,pizza,96,0
3,2020-01-01,salad,9,0
4,2020-01-01,taco,24,0
5,2020-01-02,beer,9,15
6,2020-01-02,pasta,7,7
7,2020-01-02,pizza,58,96
8,2020-01-02,salad,9,9
9,2020-01-02,taco,18,24
10,2020-01-03,beer,10,9
11,2020-01-03,pasta,7,7
12,2020-01-03,pizza,64,58
13,2020-01-03,salad,9,9
14,2020-01-03,taco,17,18
15,2020-01-04,beer,12,10
16,2020-01-04,pasta,8,7
17,2020-01-04,pizza,79,64
18,2020-01-04,salad,11,9
19,2020-01-04,taco,19,17
20,2020-01-05,beer,13,12
21,2020-01-05,pasta,9,8
22,2020-01-05,pizza,74,79
23,2020-01-05,salad,11,11
24,2020-01-05,taco,20,19
25,2020-01-06,beer,8,13
26,2020-01-06,pasta,7,9
27,2020-01-06,pizza,45,74
28,2020-01-06,salad,10,11
29,2020-01-06,taco,15,20
30,2020-01-07,beer,8,8
31,2020-01-07,pasta,7,7
32,2020-01-07,pizza,45,45
33,2020-01-07,salad,10,10
34,2020-01-07,taco,16,15
35,2020-01-08,beer,8,8
36,2020-01-08,pasta,7,7
37,2020-01-08,pizza,44,45
38,2020-01-08,salad,9,10
39,2020-01-08,taco,15,16
40,2020-01-09,beer,9,8
41,2020-01-09,pasta,7,7
42,2020-01-09,pizza,47,44
43,2020-01-09,salad,9,9
44,2020-01-09,taco,15,15
45,2020-01-10,beer,11,9
46,2020-01-10,pasta,7,7
47,2020-01-10,pizza,61,47
48,2020-01-10,salad,9,9
49,2020-01-10,taco,17,15
50,2020-01-11,beer,14,11
51,2020-01-11,pasta,8,7
52,2020-01-11,pizza,81,61
53,2020-01-11,salad,10,9
54,2020-01-11,taco,19,17
55,2020-01-12,beer,13,14
56,2020-01-12,pasta,9,8
57,2020-01-12,pizza,74,81
58,2020-01-12,salad,11,10
59,2020-01-12,taco,20,19
60,2020-01-13,beer,9,13
61,2020-01-13,pasta,7,9
62,2020-01-13,pizza,44,74
63,2020-01-13,salad,9,11
64,2020-01-13,taco,15,20
65,2020-01-14,beer,9,9
66,2020-01-14,pasta,7,7
67,2020-01-14,pizza,41,44
68,2020-01-14,salad,9,9
69,2020-01-14,taco,16,15
70,2020-01-15,beer,9,9
71,2020-01-15,pasta,7,7
72,2020-01-15,pizza,43,41
73,2020-01-15,salad,9,9
74,2020-01-15,taco,15,16
75,2020-01-16,beer,10,9
76,2020-01-16,pasta,7,7
77,2020-01-16,pizza,47,43
78,2020-01-16,salad,9,9
79,2020-01-16,taco,14,15
80,2020-01-17,beer,11,10
81,2020-01-17,pasta,7,7
82,2020-01-17,pizza,61,47
83,2020-01-17,salad,8,9
84,2020-01-17,taco,16,14
85,2020-01-18,beer,14,11
86,2020-01-18,pasta,8,7
87,2020-01-18,pizza,79,61
88,2020-01-18,salad,10,8
89,2020-01-18,taco,19,16
90,2020-01-19,beer,15,14
91,2020-01-19,pasta,9,8
92,2020-01-19,pizza,81,79
93,2020-01-19,salad,10,10
94,2020-01-19,taco,19,19
95,2020-01-20,beer,10,15
96,2020-01-20,pasta,8,9
97,2020-01-20,pizza,57,81
98,2020-01-20,salad,10,10
99,2020-01-20,taco,17,19
100,2020-01-21,beer,9,10
101,2020-01-21,pasta,7,8
102,2020-01-21,pizza,43,57
103,2020-01-21,salad,9,10
104,2020-01-21,taco,15,17
105,2020-01-22,beer,9,9
106,2020-01-22,pasta,7,7
107,2020-01-22,pizza,44,43
108,2020-01-22,salad,9,9
109,2020-01-22,taco,15,15
110,2020-01-23,beer,9,9
111,2020-01-23,pasta,7,7
112,2020-01-23,pizza,47,44
113,2020-01-23,salad,9,9
114,2020-01-23,taco,15,15
115,2020-01-24,beer,11,9
116,2020-01-24,pasta,7,7
117,2020-01-24,pizza,62,47
118,2020-01-24,salad,8,9
119,2020-01-24,taco,15,15
120,2020-01-25,beer,15,11
121,2020-01-25,pasta,8,7
122,2020-01-25,pizza,81,62
123,2020-01-25,salad,10,8
124,2020-01-25,taco,19,15
125,2020-01-26,beer,13,15
126,2020-01-26,pasta,8,8
127,2020-01-26,pizza,67,81
128,2020-01-26,salad,10,10
129,2020-01-26,taco,18,19
130,2020-01-27,beer,9,13
131,2020-01-27,pasta,6,8
132,2020-01-27,pizza,42,67
133,2020-01-27,salad,8,10
134,2020-01-27,taco,13,18
135,2020-01-28,beer,9,9
136,2020-01-28,pasta,7,6
137,2020-01-28,pizza,42,42
138,2020-01-28,salad,9,8
139,2020-01-28,taco,15,13
140,2020-01-29,beer,10,9
141,2020-01-29,pasta,6,7
142,2020-01-29,pizza,44,42
143,2020-01-29,salad,9,9
144,2020-01-29,taco,14,15
145,2020-01-30,beer,11,10
146,2020-01-30,pasta,6,6
147,2020-01-30,pizza,48,44
148,2020-01-30,salad,8,9
149,2020-01-30,taco,15,14
150,2020-01-31,beer,13,11
151,2020-01-31,pasta,6,6
152,2020-01-31,pizza,64,48
153,2020-01-31,salad,8,8
154,2020-01-31,taco,16,15
155,2020-02-01,beer,17,13
156,2020-02-01,pasta,8,6
157,2020-02-01,pizza,83,64
158,2020-02-01,salad,11,8
159,2020-02-01,taco,21,16
160,2020-02-02,beer,18,17
161,2020-02-02,pasta,8,8
162,2020-02-02,pizza,100,83
163,2020-02-02,salad,12,11
164,2020-02-02,taco,22,21
165,2020-02-03,beer,10,18
166,2020-02-03,pasta,5,8
167,2020-02-03,pizza,42,100
168,2020-02-03,salad,7,12
169,2020-02-03,taco,13,22
170,2020-02-04,beer,9,10
171,2020-02-04,pasta,6,5
172,2020-02-04,pizza,42,42
173,2020-02-04,salad,8,7
174,2020-02-04,taco,15,13
175,2020-02-05,beer,9,9
176,2020-02-05,pasta,6,6
177,2020-02-05,pizza,43,42
178,2020-02-05,salad,8,8
179,2020-02-05,taco,14,15
180,2020-02-06,beer,10,9
181,2020-02-06,pasta,6,6
182,2020-02-06,pizza,47,43
183,2020-02-06,salad,8,8
184,2020-02-06,taco,14,14
185,2020-02-07,beer,11,10
186,2020-02-07,pasta,6,6
187,2020-02-07,pizza,62,47
188,2020-02-07,salad,8,8
189,2020-02-07,taco,15,14
190,2020-02-08,beer,15,11
191,2020-02-08,pasta,8,6
192,2020-02-08,pizza,83,62
193,2020-02-08,salad,10,8
194,2020-02-08,taco,19,15
195,2020-02-09,beer,14,15
196,2020-02-09,pasta,9,8
197,2020-02-09,pizza,89,83
198,2020-02-09,salad,10,10
199,2020-02-09,taco,19,19
200,2020-02-10,beer,9,14
201,2020-02-10,pasta,7,9
202,2020-02-10,pizza,49,89
203,2020-02-10,salad,9,10
204,2020-02-10,taco,13,19
205,2020-02-11,beer,9,9
206,2020-02-11,pasta,7,7
207,2020-02-11,pizza,44,49
208,2020-02-11,salad,8,9
209,2020-02-11,taco,15,13
210,2020-02-12,beer,10,9
211,2020-02-12,pasta,7,7
212,2020-02-12,pizza,46,44
213,2020-02-12,salad,8,8
214,2020-02-12,taco,14,15
215,2020-02-13,beer,10,10
216,2020-02-13,pasta,7,7
217,2020-02-13,pizza,51,46
218,2020-02-13,salad,8,8
219,2020-02-13,taco,14,14
220,2020-02-14,beer,12,10
221,2020-02-14,pasta,8,7
222,2020-02-14,pizza,79,51
223,2020-02-14,salad,8,8
224,2020-02-14,taco,15,14
225,2020-02-15,beer,16,12
226,2020-02-15,pasta,10,8
227,2020-02-15,pizza,94,79
228,2020-02-15,salad,9,8
229,2020-02-15,taco,18,15
230,2020-02-16,beer,16,16
231,2020-02-16,pasta,9,10
232,2020-02-16,pizza,80,94
233,2020-02-16,salad,10,9
234,2020-02-16,taco,21,18
235,2020-02-17,beer,10,16
236,2020-02-17,pasta,8,9
237,2020-02-17,pizza,55,80
238,2020-02-17,salad,9,10
239,2020-02-17,taco,17,21
240,2020-02-18,beer,9,10
241,2020-02-18,pasta,7,8
242,2020-02-18,pizza,43,55
243,2020-02-18,salad,8,9
244,2020-02-18,taco,15,17
245,2020-02-19,beer,10,9
246,2020-02-19,pasta,7,7
247,2020-02-19,pizza,44,43
248,2020-02-19,salad,9,8
249,2020-02-19,taco,14,15
250,2020-02-20,beer,10,10
251,2020-02-20,pasta,6,7
252,2020-02-20,pizza,48,44
253,2020-02-20,salad,8,9
254,2020-02-20,taco,15,14
255,2020-02-21,beer,12,10
256,2020-02-21,pasta,7,6
257,2020-02-21,pizza,63,48
258,2020-02-21,salad,8,8
259,2020-02-21,taco,15,15
260,2020-02-22,beer,16,12
261,2020-02-22,pasta,8,7
262,2020-02-22,pizza,80,63
263,2020-02-22,salad,10,8
264,2020-02-22,taco,19,15
265,2020-02-23,beer,15,16
266,2020-02-23,pasta,9,8
267,2020-02-23,pizza,75,80
268,2020-02-23,salad,11,10
269,2020-02-23,taco,20,19
270,2020-02-24,beer,9,15
271,2020-02-24,pasta,7,9
