date,name,value,lastValue
1/1/20,Biden,1,0
1/1/20,Coronavirus,0,0
1/1/20,George Floyd,0,0
1/1/20,Pizza,27,0
1/1/20,Police,5,0
1/1/20,Protest,0,0
1/1/20,Stimulus,0,0
1/1/20,Trump,9,0
1/1/20,Weather,49,0
1/2/20,Biden,1,1
1/2/20,Coronavirus,0,0
1/2/20,George Floyd,0,0
1/2/20,Pizza,15,27
1/2/20,Police,5,5
1/2/20,Protest,0,0
1/2/20,Stimulus,0,0
1/2/20,Trump,6,9
1/2/20,Weather,53,49
1/3/20,Biden,1,1
1/3/20,Coronavirus,0,0
1/3/20,George Floyd,0,0
1/3/20,Pizza,18,15
1/3/20,Police,5,5
1/3/20,Protest,0,0
1/3/20,Stimulus,0,0
1/3/20,Trump,18,6
1/3/20,Weather,51,53
1/4/20,Biden,0,1
1/4/20,Coronavirus,0,0
1/4/20,George Floyd,0,0
1/4/20,Pizza,21,18
1/4/20,Police,4,5
1/4/20,Protest,0,0
1/4/20,Stimulus,0,0
1/4/20,Trump,15,18
1/4/20,Weather,53,51
1/5/20,Biden,0,0
1/5/20,Coronavirus,0,0
1/5/20,George Floyd,0,0
1/5/20,Pizza,21,21
1/5/20,Police,4,4
1/5/20,Protest,0,0
1/5/20,Stimulus,0,0
1/5/20,Trump,15,15
1/5/20,Weather,50,53
1/6/20,Biden,0,0
1/6/20,Coronavirus,0,0
1/6/20,George Floyd,0,0
1/6/20,Pizza,12,21
1/6/20,Police,5,4
1/6/20,Protest,0,0
1/6/20,Stimulus,0,0
1/6/20,Trump,15,15
1/6/20,Weather,50,50
1/7/20,Biden,1,0
1/7/20,Coronavirus,0,0
1/7/20,George Floyd,0,0
1/7/20,Pizza,12,12
1/7/20,Police,5,5
1/7/20,Protest,0,0
1/7/20,Stimulus,0,0
1/7/20,Trump,12,15
1/7/20,Weather,56,50
1/8/20,Biden,1,1
1/8/20,Coronavirus,0,0
1/8/20,George Floyd,0,0
1/8/20,Pizza,12,12
1/8/20,Police,5,5
1/8/20,Protest,0,0
1/8/20,Stimulus,0,0
1/8/20,Trump,27,12
1/8/20,Weather,57,56
1/9/20,Biden,0,1
1/9/20,Coronavirus,0,0
1/9/20,George Floyd,0,0
1/9/20,Pizza,12,12
1/9/20,Police,5,5
1/9/20,Protest,0,0
1/9/20,Stimulus,0,0
1/9/20,Trump,12,27
1/9/20,Weather,66,57
1/10/20,Biden,0,0
1/10/20,Coronavirus,0,0
1/10/20,George Floyd,0,0
1/10/20,Pizza,18,12
1/10/20,Police,5,5
1/10/20,Protest,0,0
1/10/20,Stimulus,0,0
1/10/20,Trump,9,12
1/10/20,Weather,80,66
1/11/20,Biden,0,0
1/11/20,Coronavirus,0,0
1/11/20,George Floyd,0,0
1/11/20,Pizza,24,18
1/11/20,Police,5,5
1/11/20,Protest,0,0
1/11/20,Stimulus,0,0
1/11/20,Trump,9,9
1/11/20,Weather,100,80
1/12/20,Biden,0,0
1/12/20,Coronavirus,0,0
1/12/20,George Floyd,0,0
1/12/20,Pizza,21,24
1/12/20,Police,5,5
1/12/20,Protest,0,0
1/12/20,Stimulus,0,0
1/12/20,Trump,6,9
1/12/20,Weather,72,100
1/13/20,Biden,0,0
1/13/20,Coronavirus,0,0
1/13/20,George Floyd,0,0
1/13/20,Pizza,12,21
1/13/20,Police,5,5
1/13/20,Protest,0,0
1/13/20,Stimulus,0,0
1/13/20,Trump,9,6
1/13/20,Weather,67,72
1/14/20,Biden,1,0
1/14/20,Coronavirus,0,0
1/14/20,George Floyd,0,0
1/14/20,Pizza,12,12
1/14/20,Police,5,5
1/14/20,Protest,0,0
1/14/20,Stimulus,0,0
1/14/20,Trump,12,9
1/14/20,Weather,63,67
1/15/20,Biden,1,1
1/15/20,Coronavirus,0,0
1/15/20,George Floyd,0,0
1/15/20,Pizza,12,12
1/15/20,Police,5,5
1/15/20,Protest,0,0
1/15/20,Stimulus,0,0
1/15/20,Trump,9,12
1/15/20,Weather,65,63
1/16/20,Biden,1,1
1/16/20,Coronavirus,0,0
1/16/20,George Floyd,0,0
1/16/20,Pizza,12,12
1/16/20,Police,5,5
1/16/20,Protest,0,0
1/16/20,Stimulus,0,0
1/16/20,Trump,12,9
1/16/20,Weather,77,65
1/17/20,Biden,1,1
1/17/20,Coronavirus,0,0
1/17/20,George Floyd,0,0
1/17/20,Pizza,18,12
1/17/20,Police,5,5
1/17/20,Protest,0,0
1/17/20,Stimulus,0,0
1/17/20,Trump,12,12
1/17/20,Weather,88,77
1/18/20,Biden,1,1
1/18/20,Coronavirus,0,0
1/18/20,George Floyd,0,0
1/18/20,Pizza,21,18
1/18/20,Police,4,5
1/18/20,Protest,0,0
1/18/20,Stimulus,0,0
1/18/20,Trump,9,12
1/18/20,Weather,86,88
1/19/20,Biden,1,1
1/19/20,Coronavirus,0,0
1/19/20,George Floyd,0,0
1/19/20,Pizza,21,21
1/19/20,Police,4,4
1/19/20,Protest,0,0
1/19/20,Stimulus,0,0
1/19/20,Trump,9,9
1/19/20,Weather,63,86
1/20/20,Biden,1,1
1/20/20,Coronavirus,0,0
1/20/20,George Floyd,0,0
1/20/20,Pizza,15,21
1/20/20,Police,5,4
1/20/20,Protest,0,0
1/20/20,Stimulus,0,0
1/20/20,Trump,9,9
1/20/20,Weather,59,63
1/21/20,Biden,1,1
1/21/20,Coronavirus,9,0
1/21/20,George Floyd,0,0
1/21/20,Pizza,12,15
1/21/20,Police,5,5
1/21/20,Protest,0,0
1/21/20,Stimulus,0,0
1/21/20,Trump,9,9
1/21/20,Weather,59,59
1/22/20,Biden,1,1
1/22/20,Coronavirus,9,9
1/22/20,George Floyd,0,0
1/22/20,Pizza,12,12
1/22/20,Police,5,5
1/22/20,Protest,0,0
1/22/20,Stimulus,0,0
1/22/20,Trump,12,9
1/22/20,Weather,65,59
1/23/20,Biden,1,1
1/23/20,Coronavirus,12,9
1/23/20,George Floyd,0,0
1/23/20,Pizza,12,12
1/23/20,Police,5,5
1/23/20,Protest,0,0
1/23/20,Stimulus,0,0
1/23/20,Trump,12,12
1/23/20,Weather,58,65
1/24/20,Biden,1,1
1/24/20,Coronavirus,24,12
1/24/20,George Floyd,0,0
1/24/20,Pizza,18,12
1/24/20,Police,5,5
1/24/20,Protest,0,0
1/24/20,Stimulus,0,0
1/24/20,Trump,12,12
1/24/20,Weather,54,58
1/25/20,Biden,1,1
1/25/20,Coronavirus,27,24
1/25/20,George Floyd,0,0
1/25/20,Pizza,24,18
1/25/20,Police,5,5
1/25/20,Protest,0,0
1/25/20,Stimulus,0,0
1/25/20,Trump,12,12
1/25/20,Weather,55,54
1/26/20,Biden,1,1
1/26/20,Coronavirus,30,27
1/26/20,George Floyd,0,0
1/26/20,Pizza,18,24
1/26/20,Police,4,5
1/26/20,Protest,0,0
1/26/20,Stimulus,0,0
1/26/20,Trump,9,12
1/26/20,Weather,45,55
1/27/20,Biden,1,1
1/27/20,Coronavirus,32,30
1/27/20,George Floyd,0,0
1/27/20,Pizza,12,18
1/27/20,Police,5,4
1/27/20,Protest,0,0
1/27/20,Stimulus,0,0
1/27/20,Trump,12,9
1/27/20,Weather,46,45
1/28/20,Biden,1,1
1/28/20,Coronavirus,35,32
1/28/20,George Floyd,0,0
1/28/20,Pizza,12,12
1/28/20,Police,5,5
1/28/20,Protest,0,0
1/28/20,Stimulus,0,0
1/28/20,Trump,12,12
1/28/20,Weather,45,46
1/29/20,Biden,1,1
1/29/20,Coronavirus,32,35
1/29/20,George Floyd,0,0
1/29/20,Pizza,12,12
1/29/20,Police,5,5
1/29/20,Protest,0,0
1/29/20,Stimulus,0,0
1/29/20,Trump,12,12
1/29/20,Weather,45,45
1/30/20,Biden,1,1
1/30/20,Coronavirus,35,32
1/30/20,George Floyd,0,0
1/30/20,Pizza,12,12
1/30/20,Police,5,5
1/30/20,Protest,0,0
1/30/20,Stimulus,0,0
1/30/20,Trump,12,12
1/30/20,Weather,44,45
1/31/20,Biden,1,1
1/31/20,Coronavirus,32,35
1/31/20,George Floyd,0,0
1/31/20,Pizza,18,12
1/31/20,Police,5,5
1/31/20,Protest,1,0
1/31/20,Stimulus,0,0
1/31/20,Trump,12,12
1/31/20,Weather,49,44
2/1/20,Biden,1,1
2/1/20,Coronavirus,27,32
2/1/20,George Floyd,0,0
2/1/20,Pizza,24,18
2/1/20,Police,4,5
2/1/20,Protest,1,1
2/1/20,Stimulus,0,0
2/1/20,Trump,12,12
2/1/20,Weather,51,49
2/2/20,Biden,1,1
2/2/20,Coronavirus,24,27
2/2/20,George Floyd,0,0
2/2/20,Pizza,27,24
2/2/20,Police,4,4
2/2/20,Protest,0,1
2/2/20,Stimulus,0,0
2/2/20,Trump,12,12
2/2/20,Weather,52,51
2/3/20,Biden,1,1
2/3/20,Coronavirus,21,24
2/3/20,George Floyd,0,0
2/3/20,Pizza,12,27
2/3/20,Police,5,4
2/3/20,Protest,0,0
2/3/20,Stimulus,0,0
2/3/20,Trump,18,12
2/3/20,Weather,58,52
2/4/20,Biden,2,1
2/4/20,Coronavirus,18,21
2/4/20,George Floyd,0,0
2/4/20,Pizza,12,12
2/4/20,Police,5,5
2/4/20,Protest,0,0
2/4/20,Stimulus,0,0
2/4/20,Trump,12,18
2/4/20,Weather,65,58
2/5/20,Biden,1,2
2/5/20,Coronavirus,15,18
2/5/20,George Floyd,0,0
2/5/20,Pizza,12,12
2/5/20,Police,5,5
2/5/20,Protest,0,0
2/5/20,Stimulus,0,0
2/5/20,Trump,32,12
2/5/20,Weather,77,65
2/6/20,Biden,1,1
2/6/20,Coronavirus,18,15
2/6/20,George Floyd,0,0
2/6/20,Pizza,12,12
2/6/20,Police,5,5
2/6/20,Protest,0,0
2/6/20,Stimulus,0,0
2/6/20,Trump,21,32
2/6/20,Weather,83,77
2/7/20,Biden,1,1
2/7/20,Coronavirus,18,18
2/7/20,George Floyd,0,0
2/7/20,Pizza,18,12
2/7/20,Police,5,5
2/7/20,Protest,0,0
2/7/20,Stimulus,0,0
2/7/20,Trump,15,21
2/7/20,Weather,77,83
2/8/20,Biden,2,1
2/8/20,Coronavirus,18,18
2/8/20,George Floyd,0,0
2/8/20,Pizza,24,18
2/8/20,Police,5,5
2/8/20,Protest,0,0
2/8/20,Stimulus,0,0
2/8/20,Trump,12,15
2/8/20,Weather,61,77
2/9/20,Biden,1,2
2/9/20,Coronavirus,15,18
2/9/20,George Floyd,0,0
2/9/20,Pizza,27,24
2/9/20,Police,5,5
2/9/20,Protest,0,0
2/9/20,Stimulus,0,0
2/9/20,Trump,12,12
2/9/20,Weather,68,61
2/10/20,Biden,1,1
2/10/20,Coronavirus,15,15
2/10/20,George Floyd,0,0
2/10/20,Pizza,15,27
2/10/20,Police,5,5
2/10/20,Protest,0,0
2/10/20,Stimulus,0,0
2/10/20,Trump,9,12
2/10/20,Weather,62,68
2/11/20,Biden,2,1
2/11/20,Coronavirus,15,15
2/11/20,George Floyd,0,0
2/11/20,Pizza,12,15
2/11/20,Police,5,5
2/11/20,Protest,0,0
2/11/20,Stimulus,0,0
2/11/20,Trump,12,9
2/11/20,Weather,58,62
2/12/20,Biden,2,2
2/12/20,Coronavirus,12,15
2/12/20,George Floyd,0,0
2/12/20,Pizza,12,12
2/12/20,Police,5,5
2/12/20,Protest,0,0
2/12/20,Stimulus,0,0
2/12/20,Trump,12,12
2/12/20,Weather,65,58
2/13/20,Biden,1,2
2/13/20,Coronavirus,15,12
2/13/20,George Floyd,0,0
2/13/20,Pizza,15,12
2/13/20,Police,5,5
2/13/20,Protest,0,0
2/13/20,Stimulus,0,0
2/13/20,Trump,9,12
2/13/20,Weather,65,65
2/14/20,Biden,1,1
2/14/20,Coronavirus,12,15
2/14/20,George Floyd,0,0
2/14/20,Pizza,21,15
2/14/20,Police,5,5
2/14/20,Protest,0,0
2/14/20,Stimulus,0,0
2/14/20,Trump,9,9
2/14/20,Weather,55,65
2/15/20,Biden,1,1
2/15/20,Coronavirus,12,12
2/15/20,George Floyd,0,0
2/15/20,Pizza,27,21
2/15/20,Police,4,5
2/15/20,Protest,0,0
2/15/20,Stimulus,0,0
2/15/20,Trump,9,9
2/15/20,Weather,53,55
2/16/20,Biden,1,1
2/16/20,Coronavirus,12,12
2/16/20,George Floyd,0,0
2/16/20,Pizza,21,27
2/16/20,Police,4,4
2/16/20,Protest,0,0
2/16/20,Stimulus,0,0
2/16/20,Trump,12,9
2/16/20,Weather,54,53
2/17/20,Biden,1,1
2/17/20,Coronavirus,12,12
2/17/20,George Floyd,0,0
2/17/20,Pizza,15,21
2/17/20,Police,5,4
2/17/20,Protest,0,0
2/17/20,Stimulus,0,0
2/17/20,Trump,9,12
2/17/20,Weather,54,54
2/18/20,Biden,1,1
2/18/20,Coronavirus,12,12
2/18/20,George Floyd,0,0
2/18/20,Pizza,12,15
2/18/20,Police,5,5
2/18/20,Protest,0,0
2/18/20,Stimulus,0,0
2/18/20,Trump,9,9
2/18/20,Weather,56,54
2/19/20,Biden,1,1
2/19/20,Coronavirus,9,12
2/19/20,George Floyd,0,0
2/19/20,Pizza,12,12
2/19/20,Police,5,5
2/19/20,Protest,0,0
2/19/20,Stimulus,0,0
2/19/20,Trump,12,9
2/19/20,Weather,56,56
2/20/20,Biden,2,1
2/20/20,Coronavirus,9,9
2/20/20,George Floyd,0,0
2/20/20,Pizza,15,12
2/20/20,Police,5,5
2/20/20,Protest,0,0
2/20/20,Stimulus,0,0
2/20/20,Trump,12,12
2/20/20,Weather,65,56
2/21/20,Biden,1,2
2/21/20,Coronavirus,9,9
2/21/20,George Floyd,0,0
2/21/20,Pizza,18,15
2/21/20,Police,5,5
2/21/20,Protest,0,0
2/21/20,Stimulus,0,0
2/21/20,Trump,12,12
2/21/20,Weather,56,65
2/22/20,Biden,1,1
